csa_title
"Albany-Schenectady, NY"
"Springfield-Jacksonville-Lincoln, IL"
"St. Louis-St. Charles-Farmington, MO-IL"
"State College-DuBois, PA"
"Steamboat Springs-Craig, CO"
"Syracuse-Auburn, NY"
"Toledo-Findlay-Tiffin, OH"
"Tucson-Nogales, AZ"
"Tulsa-Muskogee-Bartlesville, OK"
"Tupelo-Corinth, MS"
"Tyler-Jacksonville, TX"
"Victoria-Port Lavaca, TX"
"Virginia Beach-Norfolk, VA-NC"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"Wausau-Stevens Point-Wisconsin Rapids, WI"
"Wichita-Winfield, KS"
"Williamsport-Lock Haven, PA"
"Youngstown-Warren, OH-PA"
NOT IN A CSA
